,Cabin,Ticket,number,Survived,numerical_data,categorical_data,numerical_cabin,categorical_cabin
424,unavailable,370129,4,0,4.0,unavailable,unavailable,unavailable
425,unavailable,A/4. 34244,2,0,2.0,unavailable,unavailable,unavailable
426,unavailable,2003,1,1,1.0,unavailable,unavailable,unavailable
427,unavailable,250655,2,1,2.0,unavailable,unavailable,unavailable
428,unavailable,364851,2,0,2.0,unavailable,unavailable,unavailable
429,E10,SOTON/O.Q. 392078,6,1,6.0,unavailable,10.0,E
430,C52,110564,A,1,3.5,A,52.0,C
431,unavailable,376564,4,1,4.0,unavailable,unavailable,unavailable
432,unavailable,SC/AH 3085,4,1,4.0,unavailable,unavailable,unavailable
433,unavailable,STON/O 2. 3101274,6,0,6.0,unavailable,unavailable,unavailable
434,E44,13507,3,0,3.0,unavailable,44.0,E
435,B96 B98,113760,1,1,1.0,unavailable,96.0,B
436,unavailable,W./C. 6608,2,0,2.0,unavailable,unavailable,unavailable
437,unavailable,29106,6,1,6.0,unavailable,unavailable,unavailable
438,C23 C25 C27,19950,2,0,2.0,unavailable,23.0,C
439,unavailable,C.A. 18723,1,0,1.0,unavailable,unavailable,unavailable
440,unavailable,F.C.C. 13529,4,1,4.0,unavailable,unavailable,unavailable
441,unavailable,345769,5,0,5.0,unavailable,unavailable,unavailable
442,unavailable,347076,6,0,6.0,unavailable,unavailable,unavailable
443,unavailable,230434,2,1,2.0,unavailable,unavailable,unavailable
444,unavailable,65306,1,1,1.0,unavailable,unavailable,unavailable
445,A34,33638,3,1,3.0,unavailable,34.0,A
446,unavailable,250644,5,1,5.0,unavailable,unavailable,unavailable
447,unavailable,113794,2,1,2.0,unavailable,unavailable,unavailable
448,unavailable,2666,1,1,1.0,unavailable,unavailable,unavailable
449,C104,113786,4,1,4.0,unavailable,104.0,C
450,unavailable,C.A. 34651,A,0,3.5,A,unavailable,unavailable
451,unavailable,65303,4,0,4.0,unavailable,unavailable,unavailable
452,C111,113051,2,0,2.0,unavailable,111.0,C
453,C92,17453,5,1,5.0,unavailable,92.0,C
454,unavailable,A/5 2817,6,0,6.0,unavailable,unavailable,unavailable
455,unavailable,349240,5,1,5.0,unavailable,unavailable,unavailable
456,E38,13509,6,0,6.0,unavailable,38.0,E
457,D21,17464,1,1,1.0,unavailable,21.0,D
458,unavailable,F.C.C. 13531,A,1,3.5,A,unavailable,unavailable
459,unavailable,371060,3,0,3.0,unavailable,unavailable,unavailable
460,E12,19952,A,1,3.5,A,12.0,E
461,unavailable,364506,2,0,2.0,unavailable,unavailable,unavailable
462,E63,111320,4,0,4.0,unavailable,63.0,E
463,unavailable,234360,5,0,5.0,unavailable,unavailable,unavailable
464,unavailable,A/S 2816,6,0,6.0,unavailable,unavailable,unavailable
465,unavailable,SOTON/O.Q. 3101306,A,0,3.5,A,unavailable,unavailable
466,unavailable,239853,6,0,6.0,unavailable,unavailable,unavailable
467,unavailable,113792,1,0,1.0,unavailable,unavailable,unavailable
468,unavailable,36209,2,0,2.0,unavailable,unavailable,unavailable
469,unavailable,2666,4,1,4.0,unavailable,unavailable,unavailable
470,unavailable,323592,A,0,3.5,A,unavailable,unavailable
471,unavailable,315089,4,0,4.0,unavailable,unavailable,unavailable
472,unavailable,C.A. 34651,6,1,6.0,unavailable,unavailable,unavailable
473,D,SC/AH Basle 541,2,1,2.0,unavailable,unavailable,D
474,unavailable,7553,6,0,6.0,unavailable,unavailable,unavailable
475,A14,110465,3,0,3.0,unavailable,14.0,A
476,unavailable,31027,3,0,3.0,unavailable,unavailable,unavailable
477,unavailable,3460,4,0,4.0,unavailable,unavailable,unavailable
478,unavailable,350060,3,0,3.0,unavailable,unavailable,unavailable
479,unavailable,3101298,5,1,5.0,unavailable,unavailable,unavailable
480,unavailable,CA 2144,5,0,5.0,unavailable,unavailable,unavailable
481,unavailable,239854,A,0,3.5,A,unavailable,unavailable
482,unavailable,A/5 3594,6,0,6.0,unavailable,unavailable,unavailable
483,unavailable,4134,4,1,4.0,unavailable,unavailable,unavailable
484,B49,11967,A,1,3.5,A,49.0,B
485,unavailable,4133,A,0,3.5,A,unavailable,unavailable
486,C93,19943,3,1,3.0,unavailable,93.0,C
487,B37,11771,2,0,2.0,unavailable,37.0,B
488,unavailable,A.5. 18509,2,0,2.0,unavailable,unavailable,unavailable
489,unavailable,C.A. 37671,1,1,1.0,unavailable,unavailable,unavailable
490,unavailable,65304,2,0,2.0,unavailable,unavailable,unavailable
491,unavailable,SOTON/OQ 3101317,6,0,6.0,unavailable,unavailable,unavailable
492,C30,113787,5,0,5.0,unavailable,30.0,C
493,unavailable,PC 17609,1,0,1.0,unavailable,unavailable,unavailable
494,unavailable,A/4 45380,2,0,2.0,unavailable,unavailable,unavailable
495,unavailable,2627,4,0,4.0,unavailable,unavailable,unavailable
496,D20,36947,A,1,3.5,A,20.0,D
497,unavailable,C.A. 6212,A,0,3.5,A,unavailable,unavailable
498,C22 C26,113781,A,0,3.5,A,22.0,C
499,unavailable,350035,1,0,1.0,unavailable,unavailable,unavailable
500,unavailable,315086,4,0,4.0,unavailable,unavailable,unavailable
501,unavailable,364846,5,0,5.0,unavailable,unavailable,unavailable
502,unavailable,330909,6,0,6.0,unavailable,unavailable,unavailable
503,unavailable,4135,2,0,2.0,unavailable,unavailable,unavailable
504,B79,110152,6,1,6.0,unavailable,79.0,B
505,C65,PC 17758,4,0,4.0,unavailable,65.0,C
506,unavailable,26360,1,1,1.0,unavailable,unavailable,unavailable
507,unavailable,111427,A,1,3.5,A,unavailable,unavailable
508,unavailable,C 4001,5,0,5.0,unavailable,unavailable,unavailable
509,unavailable,1601,1,1,1.0,unavailable,unavailable,unavailable
510,unavailable,382651,5,1,5.0,unavailable,unavailable,unavailable
511,unavailable,SOTON/OQ 3101316,4,0,4.0,unavailable,unavailable,unavailable
512,E25,PC 17473,2,1,2.0,unavailable,25.0,E
513,unavailable,PC 17603,2,1,2.0,unavailable,unavailable,unavailable
514,unavailable,349209,3,0,3.0,unavailable,unavailable,unavailable
515,D46,36967,3,0,3.0,unavailable,46.0,D
516,F33,C.A. 34260,1,1,1.0,unavailable,33.0,F
517,unavailable,371110,4,0,4.0,unavailable,unavailable,unavailable
518,unavailable,226875,3,1,3.0,unavailable,unavailable,unavailable
519,unavailable,349242,1,0,1.0,unavailable,unavailable,unavailable
520,B73,12749,2,1,2.0,unavailable,73.0,B
521,unavailable,349252,5,0,5.0,unavailable,unavailable,unavailable
522,unavailable,2624,2,0,2.0,unavailable,unavailable,unavailable
523,B18,111361,A,1,3.5,A,18.0,B
524,unavailable,2700,6,0,6.0,unavailable,unavailable,unavailable
525,unavailable,367232,3,0,3.0,unavailable,unavailable,unavailable
526,unavailable,W./C. 14258,2,1,2.0,unavailable,unavailable,unavailable
527,C95,PC 17483,2,0,2.0,unavailable,95.0,C
528,unavailable,3101296,4,0,4.0,unavailable,unavailable,unavailable
529,unavailable,29104,A,0,3.5,A,unavailable,unavailable
530,unavailable,26360,6,1,6.0,unavailable,unavailable,unavailable
531,unavailable,2641,A,0,3.5,A,unavailable,unavailable
532,unavailable,2690,5,0,5.0,unavailable,unavailable,unavailable
533,unavailable,2668,4,1,4.0,unavailable,unavailable,unavailable
534,unavailable,315084,6,0,6.0,unavailable,unavailable,unavailable
535,unavailable,F.C.C. 13529,1,1,1.0,unavailable,unavailable,unavailable
536,B38,113050,5,0,5.0,unavailable,38.0,B
537,unavailable,PC 17761,1,1,1.0,unavailable,unavailable,unavailable
538,unavailable,364498,4,0,4.0,unavailable,unavailable,unavailable
539,B39,13568,3,1,3.0,unavailable,39.0,B
540,B22,WE/P 5735,2,1,2.0,unavailable,22.0,B
541,unavailable,347082,4,0,4.0,unavailable,unavailable,unavailable
542,unavailable,347082,1,0,1.0,unavailable,unavailable,unavailable
543,unavailable,2908,A,1,3.5,A,unavailable,unavailable
544,C86,PC 17761,4,0,4.0,unavailable,86.0,C
545,unavailable,693,6,0,6.0,unavailable,unavailable,unavailable
546,unavailable,2908,6,1,6.0,unavailable,unavailable,unavailable
547,unavailable,SC/PARIS 2146,5,1,5.0,unavailable,unavailable,unavailable
548,unavailable,363291,2,0,2.0,unavailable,unavailable,unavailable
549,unavailable,C.A. 33112,2,1,2.0,unavailable,unavailable,unavailable
550,C70,17421,2,1,2.0,unavailable,70.0,C
551,unavailable,244358,3,0,3.0,unavailable,unavailable,unavailable
552,unavailable,330979,6,0,6.0,unavailable,unavailable,unavailable
553,unavailable,2620,1,1,1.0,unavailable,unavailable,unavailable
554,unavailable,347085,3,1,3.0,unavailable,unavailable,unavailable
555,unavailable,113807,A,0,3.5,A,unavailable,unavailable
556,A16,11755,A,1,3.5,A,16.0,A
557,unavailable,PC 17757,2,0,2.0,unavailable,unavailable,unavailable
558,E67,110413,1,1,1.0,unavailable,67.0,E
559,unavailable,345572,5,1,5.0,unavailable,unavailable,unavailable
560,unavailable,372622,5,0,5.0,unavailable,unavailable,unavailable
561,unavailable,349251,4,0,4.0,unavailable,unavailable,unavailable
562,unavailable,218629,5,0,5.0,unavailable,unavailable,unavailable
563,unavailable,SOTON/OQ 392082,A,0,3.5,A,unavailable,unavailable
564,unavailable,SOTON/O.Q. 392087,6,0,6.0,unavailable,unavailable,unavailable
565,unavailable,A/4 48871,3,0,3.0,unavailable,unavailable,unavailable
566,unavailable,349205,A,0,3.5,A,unavailable,unavailable
567,unavailable,349909,6,0,6.0,unavailable,unavailable,unavailable
568,unavailable,2686,4,0,4.0,unavailable,unavailable,unavailable
569,unavailable,350417,6,1,6.0,unavailable,unavailable,unavailable
570,unavailable,S.W./PP 752,6,1,6.0,unavailable,unavailable,unavailable
571,C101,11769,6,1,6.0,unavailable,101.0,C
572,E25,PC 17474,A,1,3.5,A,25.0,E
573,unavailable,14312,A,1,3.5,A,unavailable,unavailable
574,unavailable,A/4. 20589,4,0,4.0,unavailable,unavailable,unavailable
575,unavailable,358585,1,0,1.0,unavailable,unavailable,unavailable
576,unavailable,243880,3,1,3.0,unavailable,unavailable,unavailable
577,E44,13507,5,1,5.0,unavailable,44.0,E
578,unavailable,2689,5,0,5.0,unavailable,unavailable,unavailable
579,unavailable,STON/O 2. 3101286,4,1,4.0,unavailable,unavailable,unavailable
580,unavailable,237789,6,1,6.0,unavailable,unavailable,unavailable
581,C68,17421,3,1,3.0,unavailable,68.0,C
582,unavailable,28403,4,0,4.0,unavailable,unavailable,unavailable
583,A10,13049,3,0,3.0,unavailable,10.0,A
584,unavailable,3411,A,0,3.5,A,unavailable,unavailable
585,E68,110413,3,1,3.0,unavailable,68.0,E
586,unavailable,237565,2,0,2.0,unavailable,unavailable,unavailable
587,B41,13567,1,1,1.0,unavailable,41.0,B
588,unavailable,14973,4,0,4.0,unavailable,unavailable,unavailable
589,unavailable,A./5. 3235,1,0,1.0,unavailable,unavailable,unavailable
590,unavailable,STON/O 2. 3101273,5,0,5.0,unavailable,unavailable,unavailable
591,D20,36947,1,1,1.0,unavailable,20.0,D
592,unavailable,A/5 3902,5,0,5.0,unavailable,unavailable,unavailable
593,unavailable,364848,1,0,1.0,unavailable,unavailable,unavailable
594,unavailable,SC/AH 29037,2,0,2.0,unavailable,unavailable,unavailable
595,unavailable,345773,A,0,3.5,A,unavailable,unavailable
596,unavailable,248727,4,1,4.0,unavailable,unavailable,unavailable
597,unavailable,LINE,6,0,6.0,unavailable,unavailable,unavailable
598,unavailable,2664,2,0,2.0,unavailable,unavailable,unavailable
599,A20,PC 17485,3,1,3.0,unavailable,20.0,A
600,unavailable,243847,A,1,3.5,A,unavailable,unavailable
601,unavailable,349214,4,0,4.0,unavailable,unavailable,unavailable
602,unavailable,113796,1,0,1.0,unavailable,unavailable,unavailable
603,unavailable,364511,2,0,2.0,unavailable,unavailable,unavailable
604,unavailable,111426,4,1,4.0,unavailable,unavailable,unavailable
605,unavailable,349910,4,0,4.0,unavailable,unavailable,unavailable
606,unavailable,349246,2,0,2.0,unavailable,unavailable,unavailable
607,unavailable,113804,A,1,3.5,A,unavailable,unavailable
608,unavailable,SC/Paris 2123,3,1,3.0,unavailable,unavailable,unavailable
609,C125,PC 17582,2,1,2.0,unavailable,125.0,C
610,unavailable,347082,4,0,4.0,unavailable,unavailable,unavailable
611,unavailable,SOTON/O.Q. 3101305,2,0,2.0,unavailable,unavailable,unavailable
612,unavailable,367230,A,1,3.5,A,unavailable,unavailable
613,unavailable,370377,3,0,3.0,unavailable,unavailable,unavailable
614,unavailable,364512,6,0,6.0,unavailable,unavailable,unavailable
615,unavailable,220845,A,1,3.5,A,unavailable,unavailable
616,unavailable,347080,4,0,4.0,unavailable,unavailable,unavailable
617,unavailable,A/5. 3336,1,0,1.0,unavailable,unavailable,unavailable
618,F4,230136,4,1,4.0,unavailable,4.0,F
619,unavailable,31028,1,0,1.0,unavailable,unavailable,unavailable
620,unavailable,2659,A,0,3.5,A,unavailable,unavailable
621,D19,11753,2,1,2.0,unavailable,19.0,D
622,unavailable,2653,6,1,6.0,unavailable,unavailable,unavailable
623,unavailable,350029,A,0,3.5,A,unavailable,unavailable
624,unavailable,54636,A,0,3.5,A,unavailable,unavailable
625,D50,36963,3,0,3.0,unavailable,50.0,D
626,unavailable,219533,1,0,1.0,unavailable,unavailable,unavailable
627,D9,13502,5,1,5.0,unavailable,9.0,D
628,unavailable,349224,2,0,2.0,unavailable,unavailable,unavailable
629,unavailable,334912,5,0,5.0,unavailable,unavailable,unavailable
630,A23,27042,6,1,6.0,unavailable,23.0,A
631,unavailable,347743,4,0,4.0,unavailable,unavailable,unavailable
632,B50,13214,5,1,5.0,unavailable,50.0,B
633,unavailable,112052,6,0,6.0,unavailable,unavailable,unavailable
634,unavailable,347088,6,0,6.0,unavailable,unavailable,unavailable
635,unavailable,237668,A,1,3.5,A,unavailable,unavailable
636,unavailable,STON/O 2. 3101292,A,0,3.5,A,unavailable,unavailable
637,unavailable,C.A. 31921,4,0,4.0,unavailable,unavailable,unavailable
638,unavailable,3101295,6,0,6.0,unavailable,unavailable,unavailable
639,unavailable,376564,6,0,6.0,unavailable,unavailable,unavailable
640,unavailable,350050,5,0,5.0,unavailable,unavailable,unavailable
641,B35,PC 17477,2,1,2.0,unavailable,35.0,B
642,unavailable,347088,A,0,3.5,A,unavailable,unavailable
643,unavailable,1601,A,1,3.5,A,unavailable,unavailable
644,unavailable,2666,3,1,3.0,unavailable,unavailable,unavailable
645,D33,PC 17572,2,1,2.0,unavailable,33.0,D
646,unavailable,349231,3,0,3.0,unavailable,unavailable,unavailable
647,A26,13213,A,1,3.5,A,26.0,A
648,unavailable,S.O./P.P. 751,2,0,2.0,unavailable,unavailable,unavailable
649,unavailable,CA. 2314,5,1,5.0,unavailable,unavailable,unavailable
650,unavailable,349221,5,0,5.0,unavailable,unavailable,unavailable
651,unavailable,231919,5,1,5.0,unavailable,unavailable,unavailable
652,unavailable,8475,1,0,1.0,unavailable,unavailable,unavailable
653,unavailable,330919,1,1,1.0,unavailable,unavailable,unavailable
654,unavailable,365226,4,0,4.0,unavailable,unavailable,unavailable
655,unavailable,S.O.C. 14879,5,0,5.0,unavailable,unavailable,unavailable
656,unavailable,349223,2,0,2.0,unavailable,unavailable,unavailable
657,unavailable,364849,1,0,1.0,unavailable,unavailable,unavailable
658,unavailable,29751,1,0,1.0,unavailable,unavailable,unavailable
659,D48,35273,6,0,6.0,unavailable,48.0,D
660,unavailable,PC 17611,4,1,4.0,unavailable,unavailable,unavailable
661,unavailable,2623,1,0,1.0,unavailable,unavailable,unavailable
662,E58,5727,A,0,3.5,A,58.0,E
663,unavailable,349210,A,0,3.5,A,unavailable,unavailable
664,unavailable,STON/O 2. 3101285,4,1,4.0,unavailable,unavailable,unavailable
665,unavailable,S.O.C. 14879,5,0,5.0,unavailable,unavailable,unavailable
666,unavailable,234686,2,0,2.0,unavailable,unavailable,unavailable
667,unavailable,312993,2,0,2.0,unavailable,unavailable,unavailable
668,unavailable,A/5 3536,2,0,2.0,unavailable,unavailable,unavailable
669,C126,19996,4,1,4.0,unavailable,126.0,C
670,unavailable,29750,2,1,2.0,unavailable,unavailable,unavailable
671,B71,F.C. 12750,5,0,5.0,unavailable,71.0,B
672,unavailable,C.A. 24580,3,0,3.0,unavailable,unavailable,unavailable
673,unavailable,244270,3,1,3.0,unavailable,unavailable,unavailable
674,unavailable,239856,5,0,5.0,unavailable,unavailable,unavailable
675,unavailable,349912,6,0,6.0,unavailable,unavailable,unavailable
676,unavailable,342826,3,0,3.0,unavailable,unavailable,unavailable
677,unavailable,4138,3,1,3.0,unavailable,unavailable,unavailable
678,unavailable,CA 2144,2,0,2.0,unavailable,unavailable,unavailable
679,B51 B53 B55,PC 17755,5,1,5.0,unavailable,51.0,B
680,unavailable,330935,1,0,1.0,unavailable,unavailable,unavailable
681,D49,PC 17572,1,1,1.0,unavailable,49.0,D
682,unavailable,6563,4,0,4.0,unavailable,unavailable,unavailable
683,unavailable,CA 2144,1,0,1.0,unavailable,unavailable,unavailable
684,unavailable,29750,5,0,5.0,unavailable,unavailable,unavailable
685,unavailable,SC/Paris 2123,5,0,5.0,unavailable,unavailable,unavailable
686,unavailable,3101295,4,0,4.0,unavailable,unavailable,unavailable
687,unavailable,349228,1,0,1.0,unavailable,unavailable,unavailable
688,unavailable,350036,A,0,3.5,A,unavailable,unavailable
689,B5,24160,6,1,6.0,unavailable,5.0,B
690,B20,17474,A,1,3.5,A,20.0,B
691,unavailable,349256,3,1,3.0,unavailable,unavailable,unavailable
692,unavailable,1601,4,1,4.0,unavailable,unavailable,unavailable
693,unavailable,2672,4,0,4.0,unavailable,unavailable,unavailable
694,unavailable,113800,1,0,1.0,unavailable,unavailable,unavailable
695,unavailable,248731,A,0,3.5,A,unavailable,unavailable
696,unavailable,363592,A,0,3.5,A,unavailable,unavailable
697,unavailable,35852,1,1,1.0,unavailable,unavailable,unavailable
698,C68,17421,A,0,3.5,A,68.0,C
699,F G63,348121,A,0,3.5,A,63.0,F
700,C62 C64,PC 17757,4,1,4.0,unavailable,62.0,C
701,E24,PC 17475,5,1,5.0,unavailable,24.0,E
702,unavailable,2691,5,0,5.0,unavailable,unavailable,unavailable
703,unavailable,36864,A,0,3.5,A,unavailable,unavailable
704,unavailable,350025,5,0,5.0,unavailable,unavailable,unavailable
705,unavailable,250655,6,0,6.0,unavailable,unavailable,unavailable
706,unavailable,223596,3,1,3.0,unavailable,unavailable,unavailable
707,E24,PC 17476,5,1,5.0,unavailable,24.0,E
708,unavailable,113781,4,1,4.0,unavailable,unavailable,unavailable
709,unavailable,2661,3,1,3.0,unavailable,unavailable,unavailable
710,C90,PC 17482,5,1,5.0,unavailable,90.0,C
711,C124,113028,1,0,1.0,unavailable,124.0,C
712,C126,19996,A,1,3.5,A,126.0,C
713,unavailable,7545,6,0,6.0,unavailable,unavailable,unavailable
714,unavailable,250647,1,0,1.0,unavailable,unavailable,unavailable
715,F G73,348124,6,0,6.0,unavailable,73.0,F
716,C45,PC 17757,4,1,4.0,unavailable,45.0,C
717,E101,34218,A,1,3.5,A,101.0,E
718,unavailable,36568,1,0,1.0,unavailable,unavailable,unavailable
719,unavailable,347062,4,0,4.0,unavailable,unavailable,unavailable
720,unavailable,248727,3,1,3.0,unavailable,unavailable,unavailable
721,unavailable,350048,A,0,3.5,A,unavailable,unavailable
722,unavailable,12233,2,0,2.0,unavailable,unavailable,unavailable
723,unavailable,250643,1,0,1.0,unavailable,unavailable,unavailable
724,E8,113806,2,1,2.0,unavailable,8.0,E
725,unavailable,315094,1,0,1.0,unavailable,unavailable,unavailable
726,unavailable,31027,A,1,3.5,A,unavailable,unavailable
727,unavailable,36866,A,1,3.5,A,unavailable,unavailable
728,unavailable,236853,5,0,5.0,unavailable,unavailable,unavailable
729,unavailable,STON/O2. 3101271,6,0,6.0,unavailable,unavailable,unavailable
730,B5,24160,4,1,4.0,unavailable,5.0,B
731,unavailable,2699,4,0,4.0,unavailable,unavailable,unavailable
732,unavailable,239855,2,0,2.0,unavailable,unavailable,unavailable
733,unavailable,28425,2,0,2.0,unavailable,unavailable,unavailable
734,unavailable,233639,5,0,5.0,unavailable,unavailable,unavailable
735,unavailable,54636,6,0,6.0,unavailable,unavailable,unavailable
736,unavailable,W./C. 6608,3,0,3.0,unavailable,unavailable,unavailable
737,B101,PC 17755,5,1,5.0,unavailable,101.0,B
738,unavailable,349201,1,0,1.0,unavailable,unavailable,unavailable
739,unavailable,349218,5,0,5.0,unavailable,unavailable,unavailable
740,D45,16988,5,1,5.0,unavailable,45.0,D
741,C46,19877,5,0,5.0,unavailable,46.0,C
742,B57 B59 B63 B66,PC 17608,1,1,1.0,unavailable,57.0,B
743,unavailable,376566,6,0,6.0,unavailable,unavailable,unavailable
744,unavailable,STON/O 2. 3101288,5,1,5.0,unavailable,unavailable,unavailable
745,B22,WE/P 5735,4,0,4.0,unavailable,22.0,B
746,unavailable,C.A. 2673,1,0,1.0,unavailable,unavailable,unavailable
747,unavailable,250648,5,1,5.0,unavailable,unavailable,unavailable
748,D30,113773,5,0,5.0,unavailable,30.0,D
749,unavailable,335097,1,0,1.0,unavailable,unavailable,unavailable
750,unavailable,29103,4,1,4.0,unavailable,unavailable,unavailable
751,E121,392096,5,1,5.0,unavailable,121.0,E
752,unavailable,345780,3,0,3.0,unavailable,unavailable,unavailable
753,unavailable,349204,1,0,1.0,unavailable,unavailable,unavailable
754,unavailable,220845,A,1,3.5,A,unavailable,unavailable
755,unavailable,250649,5,1,5.0,unavailable,unavailable,unavailable
756,unavailable,350042,2,0,2.0,unavailable,unavailable,unavailable
757,unavailable,29108,5,0,5.0,unavailable,unavailable,unavailable
758,unavailable,363294,A,0,3.5,A,unavailable,unavailable
759,B77,110152,A,1,3.5,A,77.0,B
760,unavailable,358585,A,0,3.5,A,unavailable,unavailable
761,unavailable,SOTON/O2 3101272,6,0,6.0,unavailable,unavailable,unavailable
762,unavailable,2663,3,1,3.0,unavailable,unavailable,unavailable
763,B96 B98,113760,2,1,2.0,unavailable,96.0,B
764,unavailable,347074,4,0,4.0,unavailable,unavailable,unavailable
765,D11,13502,1,1,1.0,unavailable,11.0,D
766,unavailable,112379,2,0,2.0,unavailable,unavailable,unavailable
767,unavailable,364850,A,0,3.5,A,unavailable,unavailable
768,unavailable,371110,2,0,2.0,unavailable,unavailable,unavailable
769,unavailable,8471,4,0,4.0,unavailable,unavailable,unavailable
770,unavailable,345781,5,0,5.0,unavailable,unavailable,unavailable
771,unavailable,350047,A,0,3.5,A,unavailable,unavailable
772,E77,S.O./P.P. 3,4,0,4.0,unavailable,77.0,E
773,unavailable,2674,6,0,6.0,unavailable,unavailable,unavailable
774,unavailable,29105,2,1,2.0,unavailable,unavailable,unavailable
775,unavailable,347078,4,0,4.0,unavailable,unavailable,unavailable
776,F38,383121,1,0,1.0,unavailable,38.0,F
777,unavailable,364516,3,1,3.0,unavailable,unavailable,unavailable
778,unavailable,36865,4,0,4.0,unavailable,unavailable,unavailable
779,B3,24160,A,1,3.5,A,3.0,B
780,unavailable,2687,4,1,4.0,unavailable,unavailable,unavailable
781,B20,17474,1,1,1.0,unavailable,20.0,B
782,D6,113501,1,0,1.0,unavailable,6.0,D
783,unavailable,W./C. 6607,4,0,4.0,unavailable,unavailable,unavailable
784,unavailable,SOTON/O.Q. 3101312,1,0,1.0,unavailable,unavailable,unavailable
785,unavailable,374887,1,0,1.0,unavailable,unavailable,unavailable
786,unavailable,3101265,5,1,5.0,unavailable,unavailable,unavailable
787,unavailable,382652,2,0,2.0,unavailable,unavailable,unavailable
788,unavailable,C.A. 2315,5,1,5.0,unavailable,unavailable,unavailable
789,B82 B84,PC 17593,5,0,5.0,unavailable,82.0,B
790,unavailable,12460,A,0,3.5,A,unavailable,unavailable
791,unavailable,239865,4,0,4.0,unavailable,unavailable,unavailable
792,unavailable,CA. 2343,5,0,5.0,unavailable,unavailable,unavailable
793,unavailable,PC 17600,2,0,2.0,unavailable,unavailable,unavailable
794,unavailable,349203,5,0,5.0,unavailable,unavailable,unavailable
795,unavailable,28213,6,0,6.0,unavailable,unavailable,unavailable
796,D17,17465,4,1,4.0,unavailable,17.0,D
797,unavailable,349244,3,1,3.0,unavailable,unavailable,unavailable
798,unavailable,2685,5,0,5.0,unavailable,unavailable,unavailable
799,unavailable,345773,3,0,3.0,unavailable,unavailable,unavailable
800,unavailable,250647,6,0,6.0,unavailable,unavailable,unavailable
801,unavailable,C.A. 31921,1,1,1.0,unavailable,unavailable,unavailable
802,B96 B98,113760,6,1,6.0,unavailable,96.0,B
803,unavailable,2625,4,1,4.0,unavailable,unavailable,unavailable
804,unavailable,347089,2,1,2.0,unavailable,unavailable,unavailable
805,unavailable,347063,1,0,1.0,unavailable,unavailable,unavailable
806,A36,112050,1,0,1.0,unavailable,36.0,A
807,unavailable,347087,A,0,3.5,A,unavailable,unavailable
808,unavailable,248723,6,0,6.0,unavailable,unavailable,unavailable
809,E8,113806,5,1,5.0,unavailable,8.0,E
810,unavailable,3474,5,0,5.0,unavailable,unavailable,unavailable
811,unavailable,A/4 48871,A,0,3.5,A,unavailable,unavailable
812,unavailable,28206,1,0,1.0,unavailable,unavailable,unavailable
813,unavailable,347082,A,0,3.5,A,unavailable,unavailable
814,unavailable,364499,5,0,5.0,unavailable,unavailable,unavailable
815,B102,112058,4,0,4.0,unavailable,102.0,B
816,unavailable,STON/O2. 3101290,3,0,3.0,unavailable,unavailable,unavailable
817,unavailable,S.C./PARIS 2079,6,0,6.0,unavailable,unavailable,unavailable
818,unavailable,C 7075,1,0,1.0,unavailable,unavailable,unavailable
819,unavailable,347088,A,0,3.5,A,unavailable,unavailable
820,B69,12749,6,1,6.0,unavailable,69.0,B
821,unavailable,315098,2,1,2.0,unavailable,unavailable,unavailable
822,unavailable,19972,3,0,3.0,unavailable,unavailable,unavailable
823,E121,392096,4,1,4.0,unavailable,121.0,E
824,unavailable,3101295,2,0,2.0,unavailable,unavailable,unavailable
825,unavailable,368323,2,0,2.0,unavailable,unavailable,unavailable
826,unavailable,1601,6,0,6.0,unavailable,unavailable,unavailable
827,unavailable,S.C./PARIS 2079,5,1,5.0,unavailable,unavailable,unavailable
828,unavailable,367228,3,1,3.0,unavailable,unavailable,unavailable
829,B28,113572,5,1,5.0,unavailable,28.0,B
830,unavailable,2659,A,1,3.5,A,unavailable,unavailable
831,unavailable,29106,2,1,2.0,unavailable,unavailable,unavailable
832,unavailable,2671,2,0,2.0,unavailable,unavailable,unavailable
833,unavailable,347468,1,0,1.0,unavailable,unavailable,unavailable
834,unavailable,2223,6,0,6.0,unavailable,unavailable,unavailable
835,E49,PC 17756,6,1,6.0,unavailable,49.0,E
836,unavailable,315097,1,0,1.0,unavailable,unavailable,unavailable
837,unavailable,392092,3,0,3.0,unavailable,unavailable,unavailable
838,unavailable,1601,1,1,1.0,unavailable,unavailable,unavailable
839,C47,11774,1,1,1.0,unavailable,47.0,C
840,unavailable,SOTON/O2 3101287,3,0,3.0,unavailable,unavailable,unavailable
841,unavailable,S.O./P.P. 3,3,0,3.0,unavailable,unavailable,unavailable
842,unavailable,113798,1,1,1.0,unavailable,unavailable,unavailable
843,unavailable,2683,5,0,5.0,unavailable,unavailable,unavailable
844,unavailable,315090,4,0,4.0,unavailable,unavailable,unavailable
845,unavailable,C.A. 5547,2,0,2.0,unavailable,unavailable,unavailable
846,unavailable,CA. 2343,3,0,3.0,unavailable,unavailable,unavailable
847,unavailable,349213,2,0,2.0,unavailable,unavailable,unavailable
848,unavailable,248727,6,0,6.0,unavailable,unavailable,unavailable
849,C92,17453,A,1,3.5,A,92.0,C
850,unavailable,347082,3,0,3.0,unavailable,unavailable,unavailable
851,unavailable,347060,6,0,6.0,unavailable,unavailable,unavailable
852,unavailable,2678,3,0,3.0,unavailable,unavailable,unavailable
